			Bx	By	Bz
-300	-300	-300	1.49E-01	1.49E+00	1.41E-01
-300	-300	-280	1.43E-01	1.43E+00	1.29E-01
-300	-300	-260	1.39E-01	1.38E+00	1.22E-01
-300	-300	-240	1.33E-01	1.35E+00	1.09E-01
-300	-300	-220	1.33E-01	1.30E+00	9.52E-02
-300	-300	-200	1.26E-01	1.27E+00	8.52E-02
-300	-300	-180	1.32E-01	1.24E+00	7.89E-02
-300	-300	-160	1.36E-01	1.22E+00	7.29E-02
-300	-300	-140	1.36E-01	1.21E+00	6.20E-02
-300	-300	-120	1.31E-01	1.18E+00	5.10E-02
-300	-300	-100	1.32E-01	1.17E+00	4.52E-02
-300	-300	-80	1.31E-01	1.16E+00	3.54E-02
-300	-300	-60	1.32E-01	1.15E+00	2.49E-02
-300	-300	-40	1.32E-01	1.14E+00	1.69E-02
-300	-300	-20	1.36E-01	1.14E+00	1.05E-02
-300	-300	0	1.35E-01	1.13E+00	2.60E-03
-300	-300	20	1.31E-01	1.14E+00	-8.50E-03
-300	-300	40	1.28E-01	1.14E+00	-1.54E-02
-300	-300	60	1.26E-01	1.14E+00	-2.28E-02
-300	-300	80	1.34E-01	1.15E+00	-3.45E-02
-300	-300	100	1.38E-01	1.16E+00	-4.63E-02
-300	-300	120	1.34E-01	1.17E+00	-4.89E-02
-300	-300	140	1.33E-01	1.20E+00	-5.74E-02
-300	-300	160	1.33E-01	1.23E+00	-6.94E-02
-300	-300	180	1.35E-01	1.25E+00	-7.96E-02
-300	-300	200	1.36E-01	1.27E+00	-8.97E-02
-300	-300	220	1.35E-01	1.29E+00	-9.91E-02
-300	-300	240	1.36E-01	1.33E+00	-1.06E-01
-300	-300	260	1.37E-01	1.37E+00	-1.12E-01
-300	-300	280	1.52E-01	1.42E+00	-1.36E-01
-300	-300	300	1.62E-01	1.49E+00	-1.40E-01
-300	-280	-300	8.39E-02	1.51E+00	7.54E-02
-300	-280	-280	7.67E-02	1.45E+00	7.10E-02
-300	-280	-260	8.18E-02	1.39E+00	6.86E-02
-300	-280	-240	8.78E-02	1.35E+00	6.66E-02
-300	-280	-220	9.15E-02	1.31E+00	6.21E-02
-300	-280	-200	9.32E-02	1.28E+00	5.79E-02
-300	-280	-180	1.06E-01	1.25E+00	5.64E-02
-300	-280	-160	8.61E-02	1.23E+00	4.84E-02
-300	-280	-140	9.91E-02	1.20E+00	4.46E-02
-300	-280	-120	1.00E-01	1.19E+00	3.82E-02
-300	-280	-100	1.02E-01	1.18E+00	3.61E-02
-300	-280	-80	9.90E-02	1.17E+00	3.13E-02
-300	-280	-60	1.01E-01	1.16E+00	1.74E-02
-300	-280	-40	9.89E-02	1.16E+00	1.02E-02
-300	-280	-20	1.01E-01	1.16E+00	3.34E-03
-300	-280	0	1.01E-01	1.16E+00	3.78E-03
-300	-280	20	1.00E-01	1.15E+00	-1.10E-02
-300	-280	40	9.72E-02	1.16E+00	-1.38E-02
-300	-280	60	9.59E-02	1.16E+00	-1.76E-02
-300	-280	80	9.56E-02	1.17E+00	-2.72E-02
-300	-280	100	9.73E-02	1.18E+00	-2.73E-02
