			Bx	By	Bz
-300	-300	-300	0.207988535	1.980477509	0.202522391
-300	-300	-280	0.202437934	1.90498279	0.181835304
-300	-300	-260	0.191352266	1.828960541	0.166534903
-300	-300	-240	0.185584606	1.772308982	0.15067734
-300	-300	-220	0.194918036	1.710177833	0.129055574
-300	-300	-200	0.187113813	1.674601487	0.120637668
-300	-300	-180	0.182837797	1.640637834	0.109337501
-300	-300	-160	0.181745219	1.608331477	0.093359703
-300	-300	-140	0.179680394	1.582978957	0.083847401
-300	-300	-120	0.179369107	1.569888221	0.072556749
-300	-300	-100	0.177133194	1.546732287	0.056727192
-300	-300	-80	0.177108874	1.539411137	0.046719434
-300	-300	-60	0.177625048	1.532225003	0.036016357
-300	-300	-40	0.178020519	1.522062483	0.025100515
-300	-300	-20	0.177372985	1.513146988	0.013701527
-300	-300	0	0.179829927	1.509857768	0.000241948
-300	-300	20	0.181340562	1.509263864	-0.011142608
-300	-300	40	0.181132627	1.515228413	-0.02436763
-300	-300	60	0.179773849	1.520788383	-0.037994438
-300	-300	80	0.180383696	1.532981506	-0.044647787
-300	-300	100	0.185085226	1.539205378	-0.061310008
-300	-300	120	0.178534384	1.561542455	-0.062314336
-300	-300	140	0.1760029	1.581370252	-0.083904285
-300	-300	160	0.175969153	1.608403143	-0.088445782
-300	-300	180	0.183623298	1.640701791	-0.102864641
-300	-300	200	0.186351411	1.674261166	-0.120647881
-300	-300	220	0.189198152	1.713494763	-0.128441649
-300	-300	240	0.194430861	1.763036684	-0.14879405
-300	-300	260	0.189633834	1.825340484	-0.155824087
-300	-300	280	0.205167195	1.895740773	-0.179654304
-300	-300	300	0.208161257	1.980724389	-0.201097118
-300	-280	-300	0.109546979	2.012806007	0.105019404
-300	-280	-280	0.121511098	1.921368201	0.111137982
-300	-280	-260	0.121007877	1.855056133	0.106314042
-300	-280	-240	0.119725287	1.789700466	0.097315438
-300	-280	-220	0.118439021	1.739058268	0.083604258
-300	-280	-200	0.122270139	1.697193672	0.08061003
-300	-280	-180	0.124035755	1.656459983	0.075262334
-300	-280	-160	0.125608233	1.6278553	0.067235054
-300	-280	-140	0.130333644	1.602659301	0.062442164
-300	-280	-120	0.131911607	1.581946348	0.054061132
-300	-280	-100	0.135675565	1.564347594	0.042958412
-300	-280	-80	0.13840135	1.554110886	0.034052739
-300	-280	-60	0.136334805	1.542879082	0.028394094
-300	-280	-40	0.137160017	1.535707103	0.017928536
-300	-280	-20	0.136694169	1.530313046	0.010412308
-300	-280	0	0.134228353	1.528297011	-0.000664597
-300	-280	20	0.135294377	1.53002879	-0.00782367
-300	-280	40	0.139417635	1.535618908	-0.018600589
-300	-280	60	0.132089866	1.553842236	-0.018416009
-300	-280	80	0.131682332	1.55612962	-0.038641225
-300	-280	100	0.133323698	1.571036763	-0.041837774
-300	-280	120	0.131129644	1.588395441	-0.048153487
-300	-280	140	0.129420804	1.604568522	-0.057122115
-300	-280	160	0.128767325	1.629735892	-0.065546345
-300	-280	180	0.127074055	1.654750361	-0.069199519
-300	-280	200	0.129748644	1.692679503	-0.08741027
-300	-280	220	0.12479723	1.741643949	-0.084180121
-300	-280	240	0.121298739	1.7951255	-0.092020208
-300	-280	260	0.119234713	1.853786741	-0.093056112
-300	-280	280	0.117889171	1.923736508	-0.098686059
-300	-280	300	0.116507748	2.016291964	-0.104747829
